device_id,id,vehicle_event_type_id,vehicle_id,data,date_created
"1","2327145","250","1380","0","'2025-06-06T20:31:53.01+00:00'"
"1","2322558","250","1380","1","'2025-06-06T20:19:49+00:00'"
"1","2314152","250","1380","0","'2025-06-06T18:16:45+00:00'"
"1","2306023","250","1380","1","'2025-06-06T17:54:56+00:00'"
"1","2294464","250","1380","0","'2025-06-06T02:21:05+00:00'"
"1","2292360","250","1380","1","'2025-06-06T02:16:49+00:00'"
"1","2292088","250","1380","0","'2025-06-06T00:28:12+00:00'"
"1","2286430","250","1380","1","'2025-06-06T00:12:07+00:00'"
"1","2286071","250","1380","0","'2025-06-05T22:39:28+00:00'"
"1","2275448","250","1380","1","'2025-06-05T22:22:00.01+00:00'"
"1","2262834","250","1380","0","'2025-06-05T20:56:40+00:00'"
"1","2259762","250","1380","1","'2025-06-05T20:41:42+00:00'"
"1","2259744","250","1380","0","'2025-06-05T20:41:21+00:00'"
"1","2253395","250","1380","1","'2025-06-05T20:27:00+00:00'"
"1","2253293","250","1380","0","'2025-06-05T19:33:15+00:00'"
"1","2232605","250","1380","1","'2025-06-05T18:57:11+00:00'"
"1","2232581","250","1380","0","'2025-06-05T18:54:22+00:00'"
"1","2228764","250","1380","1","'2025-06-05T18:30:41+00:00'"
"1","2226046","250","1380","0","'2025-06-05T18:24:37.01+00:00'"
"1","2218384","250","1380","1","'2025-06-05T18:15:29.01+00:00'"
"1","2193793","250","1380","0","'2025-06-05T16:29:51+00:00'"
"1","2177322","250","1380","1","'2025-06-05T15:56:51.01+00:00'"
"1","2176839","250","1380","0","'2025-06-05T15:05:22+00:00'"
"1","2175613","250","1380","1","'2025-06-05T14:58:17.01+00:00'"
"1","2175561","250","1380","0","'2025-06-05T14:29:27.01+00:00'"
"1","2175092","250","1380","1","'2025-06-05T14:21:58.01+00:00'"
"1","2174487","250","1380","0","'2025-06-05T14:13:16+00:00'"
"1","2159927","250","1380","1","'2025-06-05T13:44:21+00:00'"
"1","2141329","250","1380","0","'2025-06-05T02:03:22+00:00'"
"1","2133304","250","1380","1","'2025-06-05T01:49:25+00:00'"
"1","2133266","250","1380","0","'2025-06-05T01:37:50+00:00'"
"1","2132271","250","1380","1","'2025-06-05T01:30:50+00:00'"
"1","2132168","250","1380","0","'2025-06-05T01:26:29+00:00'"
"1","2117122","250","1380","1","'2025-06-05T01:02:15+00:00'"
"1","2116256","250","1380","0","'2025-06-05T00:18:37+00:00'"
"1","2099766","250","1380","1","'2025-06-04T23:29:14+00:00'"
"1","2097168","250","1380","0","'2025-06-04T22:50:13+00:00'"
"1","2082574","250","1380","1","'2025-06-04T22:15:25.01+00:00'"
"1","2082462","250","1380","0","'2025-06-04T22:13:10+00:00'"
"1","2078396","250","1380","1","'2025-06-04T21:59:03+00:00'"
"1","2077151","250","1380","0","'2025-06-04T20:55:21.01+00:00'"
"1","2070325","250","1380","1","'2025-06-04T20:42:07.01+00:00'"
"1","2070321","250","1380","0","'2025-06-04T20:40:51+00:00'"
"1","2063830","250","1380","1","'2025-06-04T20:24:55.01+00:00'"
"1","2063802","250","1380","0","'2025-06-04T20:00:46+00:00'"
"1","2059082","250","1380","1","'2025-06-04T19:50:07.01+00:00'"
"1","2058585","250","1380","0","'2025-06-04T19:21:26+00:00'"
"1","2054592","250","1380","1","'2025-06-04T19:10:04+00:00'"
"1","2054400","250","1380","0","'2025-06-04T19:02:59.01+00:00'"
"1","2046293","250","1380","1","'2025-06-04T18:41:44.01+00:00'"
"1","2041463","250","1380","0","'2025-06-04T14:46:22+00:00'"
"1","2033243","250","1380","1","'2025-06-04T14:29:08+00:00'"
"1","2033230","250","1380","0","'2025-06-04T14:28:30.01+00:00'"
"1","2018722","250","1380","1","'2025-06-04T13:52:53+00:00'"
"1","2018606","250","1380","0","'2025-06-04T01:47:33+00:00'"
