,idle_start_time,idle_end_time,idle_duration_hr,idle_location_x,idle_location_y,idle_start_time_mdt,idle_end_time_mdt,idle_start_hour_mdt
31,2025-05-12 18:35:39.010000+00:00,2025-05-12 19:19:13.010000+00:00,0.7261111111111112,-1140476066,509779216,2025-05-12 12:35:39.010000-06:00,2025-05-12 13:19:13.010000-06:00,12.316666666666666
32,2025-05-12 19:32:30+00:00,2025-05-12 20:31:56+00:00,0.9905555555555555,-1141037100,510033283,2025-05-12 13:32:30-06:00,2025-05-12 14:31:56-06:00,13.516666666666667
33,2025-05-12 20:40:58+00:00,2025-05-12 20:44:32.010000+00:00,0.05944722222222222,-1140904633,509857800,2025-05-12 14:40:58-06:00,2025-05-12 14:44:32.010000-06:00,14.733333333333333
34,2025-05-12 20:50:54+00:00,2025-05-12 21:33:11+00:00,0.7047222222222222,-1140708266,509850733,2025-05-12 14:50:54-06:00,2025-05-12 15:33:11-06:00,14.55
35,2025-05-12 21:51:17.010000+00:00,2025-05-13 00:04:17.020000+00:00,2.2166694444444444,-1141282750,509446950,2025-05-12 15:51:17.010000-06:00,2025-05-12 18:04:17.020000-06:00,15.066666666666666
36,2025-05-13 00:06:08+00:00,2025-05-13 14:48:32.010000+00:00,14.706669444444445,-1141282700,509446950,2025-05-12 18:06:08-06:00,2025-05-13 08:48:32.010000-06:00,18.8
37,2025-05-13 15:11:41+00:00,2025-05-13 15:44:00.010000+00:00,0.5386138888888888,-1141342733,510509133,2025-05-13 09:11:41-06:00,2025-05-13 09:44:00.010000-06:00,9.733333333333333
38,2025-05-13 16:23:23+00:00,2025-05-13 16:24:30.010000+00:00,0.01861388888888889,-1139556350,511621950,2025-05-13 10:23:23-06:00,2025-05-13 10:24:30.010000-06:00,10.4
39,2025-05-13 16:26:20.010000+00:00,2025-05-13 17:04:03.010000+00:00,0.6286111111111111,-1139557733,511621383,2025-05-13 10:26:20.010000-06:00,2025-05-13 11:04:03.010000-06:00,10.066666666666666
40,2025-05-13 17:05:10.010000+00:00,2025-05-13 18:20:47.020000+00:00,1.2602805555555556,-1139558566,511621016,2025-05-13 11:05:10.010000-06:00,2025-05-13 12:20:47.020000-06:00,11.333333333333334
