device_id,vehicle_id,start_time,end_time
3,1947,2025-05-04 02:59:08.000,2025-05-04 03:12:50.000
3,1947,2025-05-04 19:58:50.000,2025-05-04 20:18:34.000
3,1947,2025-05-04 22:50:03.000,2025-05-04 23:07:37.000
3,1947,2025-05-06 15:49:15.010,2025-05-06 16:03:24.010
3,1947,2025-05-06 18:22:07.010,2025-05-06 18:33:35.000
3,1947,2025-05-06 19:28:42.010,2025-05-06 19:38:16.000
3,1947,2025-05-06 20:50:29.000,2025-05-06 20:56:23.000
3,1947,2025-05-06 21:45:30.000,2025-05-06 21:57:18.000
3,1947,2025-05-06 23:01:52.000,2025-05-06 23:12:03.010
3,1947,2025-05-07 17:39:56.000,2025-05-07 17:59:22.000
3,1947,2025-05-07 19:42:38.000,2025-05-07 19:45:20.000
3,1947,2025-05-07 19:58:50.000,2025-05-07 20:08:28.010
3,1947,2025-05-07 20:45:59.000,2025-05-07 21:00:50.010
3,1947,2025-05-07 22:51:04.010,2025-05-07 23:12:02.010
3,1947,2025-05-08 14:17:36.000,2025-05-08 14:39:11.010
3,1947,2025-05-08 23:01:11.000,2025-05-08 23:27:35.000
3,1947,2025-05-09 19:13:29.000,2025-05-09 19:20:16.010
3,1947,2025-05-09 20:12:26.000,2025-05-09 20:16:17.010
3,1947,2025-05-09 20:22:19.010,2025-05-09 20:43:31.000
3,1947,2025-05-09 20:46:51.000,2025-05-09 20:48:16.000
3,1947,2025-05-09 21:32:02.000,2025-05-09 21:48:06.000
3,1947,2025-05-09 23:26:29.000,2025-05-09 23:38:49.010
3,1947,2025-05-10 00:13:17.000,2025-05-10 00:27:49.010
3,1947,2025-05-10 01:56:49.000,2025-05-10 02:11:20.000
3,1947,2025-05-13 16:33:47.000,2025-05-13 17:32:41.010
3,1947,2025-05-13 19:55:29.000,2025-05-13 20:25:52.000
3,1947,2025-05-13 20:47:23.010,2025-05-13 20:50:54.000
3,1947,2025-05-13 20:52:21.000,2025-05-13 20:57:44.010
3,1947,2025-05-13 22:29:40.000,2025-05-13 22:39:47.000
3,1947,2025-05-14 17:23:41.010,2025-05-14 17:37:15.010
3,1947,2025-05-14 17:40:21.000,2025-05-14 17:55:17.000
3,1947,2025-05-14 19:51:36.000,2025-05-14 20:03:35.010
3,1947,2025-05-14 20:24:44.000,2025-05-14 20:28:57.000
3,1947,2025-05-14 21:01:12.000,2025-05-14 21:04:29.000
3,1947,2025-05-14 22:35:06.000,2025-05-14 22:57:04.000
3,1947,2025-05-27 15:50:34.000,2025-05-27 16:16:15.000
3,1947,2025-05-27 16:28:49.010,2025-05-27 16:36:45.000
3,1947,2025-05-28 17:44:51.000,2025-05-28 17:46:14.010
3,1947,2025-05-28 17:47:35.010,2025-05-28 18:03:17.000
3,1947,2025-05-28 19:39:10.000,2025-05-28 19:49:57.000
3,1947,2025-05-28 20:13:24.000,2025-05-28 20:21:44.000
3,1947,2025-05-28 20:40:17.000,2025-05-28 20:51:32.010
3,1947,2025-05-28 21:20:57.000,2025-05-28 21:47:42.010
3,1947,2025-05-29 17:22:28.000,2025-05-29 17:38:25.000
3,1947,2025-05-29 21:53:46.000,2025-05-29 22:09:07.000
3,1947,2025-05-30 02:02:10.000,2025-05-30 02:15:45.010
3,1947,2025-05-30 04:02:08.000,2025-05-30 04:12:53.010
3,1947,2025-05-31 00:35:47.000,2025-05-31 00:45:53.000
3,1947,2025-05-31 00:56:48.010,2025-05-31 01:12:40.000
3,1947,2025-05-31 01:15:31.000,2025-05-31 01:20:13.000
3,1947,2025-05-31 02:08:24.000,2025-05-31 02:29:34.000
3,1947,2025-05-31 03:32:42.000,2025-05-31 03:45:32.010
3,1947,2025-06-03 20:41:16.010,2025-06-03 20:55:41.000
3,1947,2025-06-03 23:11:46.010,2025-06-03 23:29:43.000
3,1947,2025-06-04 17:43:32.010,2025-06-04 18:02:01.010
3,1947,2025-06-04 19:45:12.010,2025-06-04 19:56:42.000
3,1947,2025-06-04 20:56:24.000,2025-06-04 21:03:44.010
3,1947,2025-06-04 22:15:04.000,2025-06-04 22:22:24.000
3,1947,2025-06-04 22:31:05.000,2025-06-04 22:55:50.010
3,1947,2025-06-04 22:59:11.000,2025-06-04 23:10:11.000
3,1947,2025-06-05 10:48:49.010,2025-06-05 11:15:31.000
3,1947,2025-06-05 11:16:32.000,2025-06-05 11:54:22.010
3,1947,2025-06-05 13:33:45.000,2025-06-05 14:19:19.000
3,1947,2025-06-10 15:39:16.000,2025-06-10 15:53:38.000
3,1947,2025-06-10 15:54:12.000,2025-06-10 16:21:19.000
3,1947,2025-06-10 19:04:29.000,2025-06-10 19:16:32.010
3,1947,2025-06-10 20:17:00.000,2025-06-10 20:46:13.000
3,1947,2025-06-10 20:58:12.000,2025-06-10 21:01:04.010
3,1947,2025-06-10 21:04:51.010,2025-06-10 21:14:41.000
3,1947,2025-06-10 21:19:34.000,2025-06-10 21:29:01.000
3,1947,2025-06-10 21:38:05.010,2025-06-10 21:51:21.000
3,1947,2025-06-10 22:34:48.010,2025-06-10 22:58:05.000
3,1947,2025-06-10 23:07:10.000,2025-06-11 00:11:54.000
