device_id,vehicle_id,start_time,end_time,start_x,start_y,start_loc_time,end_x,end_y,end_loc_time
1,1380,2025-05-02 01:09:24.000,2025-05-02 01:20:10.000,-1141234050,510441383,2025-05-02 01:09:24+00:00,-1141747250,510378216,2025-05-02 01:20:10+00:00
1,1380,2025-05-02 19:01:52.000,2025-05-02 19:13:31.000,-1141747750,510378983,2025-05-02 19:01:52+00:00,-1141409533,510427166,2025-05-02 19:13:31+00:00
1,1380,2025-05-02 19:59:49.010,2025-05-02 20:18:24.000,-1141408833,510427633,2025-05-02 19:59:49.010000+00:00,-1141540750,510823183,2025-05-02 20:18:24+00:00
1,1380,2025-05-02 21:43:52.010,2025-05-02 21:50:02.010,-1141541700,510823600,2025-05-02 21:43:52.010000+00:00,-1141481433,510624449,2025-05-02 21:50:02.010000+00:00
1,1380,2025-05-02 22:55:31.000,2025-05-02 23:16:21.000,-1141481600,510625183,2025-05-02 22:55:31+00:00,-1141746816,510378733,2025-05-02 23:16:21+00:00
1,1380,2025-05-03 23:17:20.000,2025-05-03 23:20:08.000,-1141749400,510380700,2025-05-03 23:17:20+00:00,-1141884116,510380183,2025-05-03 23:20:08+00:00
1,1380,2025-05-03 23:20:34.010,2025-05-03 23:29:49.010,-1141942500,510379166,2025-05-03 23:20:34.010000+00:00,-1142271116,511140966,2025-05-03 23:29:49.010000+00:00
1,1380,2025-05-03 23:33:01.000,2025-05-03 23:46:34.010,-1141898850,511504833,2025-05-03 23:33:01+00:00,-1141581200,511813916,2025-05-03 23:46:34.010000+00:00
1,1380,2025-05-03 23:49:03.010,2025-05-03 23:52:49.010,-1141589283,511806249,2025-05-03 23:49:03.010000+00:00,-1141590800,511804883,2025-05-03 23:52:49.010000+00:00
1,1380,2025-05-03 23:56:20.020,2025-05-04 00:01:23.010,-1141591050,511807083,2025-05-03 23:56:20.020000+00:00,-1141211616,511797316,2025-05-04 00:01:23.010000+00:00
1,1380,2025-05-04 00:02:15.000,2025-05-04 00:03:32.000,-1141219083,511793633,2025-05-04 00:02:15+00:00,-1141217200,511793283,2025-05-04 00:03:32+00:00
