lat,lon,idle_start_hour,idle_duration_hr,week_number,cluster
50.9021916,-114.067445,18,0.1925,1,-1
50.8591116,-114.0102166,19,0.9563916666666668,1,-1
50.94463,-114.1278866,20,0.1050027777777777,1,0
50.9446566,-114.1283733,20,11.364719444444445,1,0
51.0382683,-114.1400783,8,0.4269416666666666,1,-1
51.0600549,-114.0002783,9,0.1208361111111111,1,-1
50.98986,-114.0446083,9,0.0261138888888888,1,-1
50.9503083,-114.00207,9,0.1363916666666666,1,-1
50.9504983,-114.0020533,10,0.0905555555555555,1,-1
50.9403166,-113.9735066,10,0.9352805555555556,1,-1
50.9446499,-114.1283383,11,6.7491666666666665,1,0
50.9446166,-114.1283433,18,13.855833333333331,1,0
50.9409066,-114.1210366,8,0.0052805555555555,1,-1
51.1194599,-114.1846883,8,0.9711138888888888,1,-1
51.1167399,-114.2477866,10,0.2469444444444444,1,-1
51.1191766,-114.2452866,10,0.5336111111111111,1,-1
51.0858833,-114.1577733,11,0.2933361111111111,1,-1
50.9855483,-114.0904233,11,0.2886111111111111,1,1
50.9446133,-114.1284866,12,0.2111083333333333,1,0
50.9404533,-114.1214216,12,2.2669472222222224,1,-1
50.9446633,-114.12834,14,1.7208361111111112,1,0
50.9193616,-114.1151283,16,0.8961111111111111,1,-1
50.9410049,-114.120585,17,0.0980527777777777,1,-1
50.9446499,-114.1282166,18,63.10860833333333,1,0
50.9739533,-114.0985783,9,0.1088888888888888,1,-1
50.9736666,-114.09858,9,0.6447250000000001,1,-1
51.1417166,-114.1847883,10,0.704725,1,-1
51.14143,-114.1841083,11,0.0666666666666666,1,-1
51.0373683,-113.9589433,11,0.1091666666666666,1,-1
50.9923533,-114.0501566,12,0.032225,1,2
50.991205,-114.0509066,12,0.0438888888888888,1,2
50.9779216,-114.0476066,12,0.7261111111111112,1,-1
51.0033283,-114.10371,13,0.9905555555555556,1,-1
50.98578,-114.0904633,14,0.0594472222222222,1,1
50.9850733,-114.0708266,14,0.7047222222222222,1,-1
50.944695,-114.128275,15,2.2166694444444444,1,0
50.944695,-114.12827,18,14.706669444444444,1,0
51.0509133,-114.1342733,9,0.5386138888888888,2,-1
51.162195,-113.955635,10,0.0186138888888888,2,-1
51.1621383,-113.9557733,10,0.6286111111111111,2,-1
51.1621016,-113.9558566,11,1.2602805555555556,2,-1
51.1455449,-113.966435,12,0.39,2,-1
51.18191,-114.1583883,13,0.6130555555555556,2,-1
50.9853083,-114.082485,14,0.2644416666666667,2,-1
50.9856,-114.0903583,14,0.0308361111111111,2,1
50.9876066,-114.0279866,15,0.465,2,-1
51.0314283,-114.0677633,16,0.3677777777777777,2,-1
51.0516733,-114.0539483,16,0.6002805555555556,2,-1
50.9446383,-114.128275,17,13.822777777777778,2,0
50.9855733,-114.090435,7,0.0663916666666666,2,1
50.87898,-114.08497,8,0.4711111111111111,2,-1
50.8789366,-114.0858883,8,0.0316694444444444,2,-1
50.86492,-114.038765,9,0.5099972222222222,2,-1
51.0383149,-114.140025,9,0.3163861111111111,2,-1
50.9399649,-114.1446883,10,0.0422222222222222,2,3
50.93999,-114.14522,10,0.0194472222222222,2,3
50.9391683,-114.145725,10,0.7772222222222223,2,3
50.94466,-114.1284266,11,9.83388888888889,2,0
50.9446566,-114.1282216,21,10.256669444444444,2,0
51.1712749,-114.0858783,8,0.4466722222222222,2,-1
51.1725066,-114.0860583,9,0.007225,2,-1
51.1538533,-114.2006216,9,0.2397222222222222,2,-1
50.9445783,-114.12845,9,2.306113888888889,2,0
50.928285,-114.1310266,12,1.2074972222222222,2,-1
50.9446033,-114.1285716,13,0.0458361111111111,2,0
51.0559,-114.129845,14,0.4697194444444444,2,-1
51.0421966,-114.0806683,14,0.0477805555555555,2,-1
51.0422666,-114.0764783,14,0.1133361111111111,2,-1
51.1418666,-114.1755866,15,0.7022194444444444,2,-1
51.1408633,-114.174645,16,0.0027777777777777,2,-1
51.1409966,-114.1739933,16,0.1100027777777777,2,-1
51.1419183,-114.182625,16,0.1666638888888889,2,-1
51.0678183,-114.0863983,17,0.5744444444444444,2,-1
51.1860633,-114.1137983,18,0.6252777777777778,2,-1
50.944685,-114.1284766,19,13.43861388888889,2,0
50.9561316,-114.0002683,8,0.2155555555555555,2,-1
50.9187066,-113.96857,9,0.5686138888888889,2,-1
51.0433183,-113.9859483,10,0.0547194444444444,2,-1
51.043295,-113.986255,10,0.5,2,-1
50.86893,-113.980885,11,0.8216666666666667,2,-1
50.8702466,-113.9824049,12,0.3613944444444444,2,-1
51.0928849,-114.0577866,13,0.06,2,-1
51.1725916,-114.1196899,13,2.205833333333333,2,-1
51.032475,-114.0694,16,0.6877805555555556,2,-1
51.0117633,-114.0990416,17,0.6566638888888888,2,-1
50.94463,-114.1283033,18,86.01666666666667,2,0
51.0039649,-114.0566166,8,0.1261111111111111,3,-1
51.0436866,-114.1082733,9,0.8744472222222223,3,-1
50.9251966,-113.9296333,10,0.0208333333333333,3,-1
50.9253283,-113.9297183,10,0.2916638888888889,3,-1
50.9253283,-113.9297183,11,0.2891638888888889,3,-1
50.9132983,-113.9500466,11,1.146663888888889,3,-1
50.883795,-113.9827333,12,1.0561083333333332,3,-1
50.9446366,-114.1284366,13,0.5286111111111111,3,0
50.985585,-114.0903866,14,0.0091694444444444,3,1
50.9858316,-114.0826983,14,0.1630555555555555,3,-1
50.9717383,-114.1000516,15,0.93,3,-1
50.9446966,-114.1283083,16,1.845,3,0
50.94468,-114.1283883,18,13.11,3,0
50.9402266,-114.1450549,8,0.0291666666666666,3,3
50.9446833,-114.128375,8,2.7777777777777777,3,0
50.9446566,-114.12784,11,0.0586111111111111,3,0
50.956975,-114.1213983,11,0.0758333333333333,3,-1
50.99843,-114.0142716,11,0.2644416666666667,3,-1
51.0327916,-114.07172,12,1.9352777777777777,3,-1
50.9856716,-114.0899283,14,0.0888888888888888,3,1
50.9447033,-114.1284866,14,2.144997222222222,3,0
50.8688966,-113.980755,17,1.117222222222222,3,-1
50.944535,-114.1284666,18,0.0030555555555555,3,0
50.944555,-114.1284316,18,0.0144444444444444,3,0
50.9446266,-114.1284233,18,12.938888888888888,3,0
50.9859416,-114.0905833,8,0.0911083333333333,3,1
